Fund Name,Date,NAV
Nippon India Small Cap Fund (G),26-11-2018,39.3546
Nippon India Small Cap Fund (G),27-11-2018,39.6114
Nippon India Small Cap Fund (G),28-11-2018,39.3978
Nippon India Small Cap Fund (G),29-11-2018,39.3159
Nippon India Small Cap Fund (G),30-11-2018,39.5053
Nippon India Small Cap Fund (G),03-12-2018,39.5087
Nippon India Small Cap Fund (G),04-12-2018,39.5068
Nippon India Small Cap Fund (G),05-12-2018,39.0976
Nippon India Small Cap Fund (G),06-12-2018,38.61
Nippon India Small Cap Fund (G),07-12-2018,38.5879
Nippon India Small Cap Fund (G),10-12-2018,37.9772
Nippon India Small Cap Fund (G),11-12-2018,38.428
Nippon India Small Cap Fund (G),12-12-2018,39.2645
Nippon India Small Cap Fund (G),13-12-2018,39.5565
Nippon India Small Cap Fund (G),14-12-2018,39.5502
Nippon India Small Cap Fund (G),17-12-2018,39.6758
Nippon India Small Cap Fund (G),18-12-2018,39.7668
Nippon India Small Cap Fund (G),19-12-2018,40.18
Nippon India Small Cap Fund (G),20-12-2018,40.1686
Nippon India Small Cap Fund (G),21-12-2018,39.6967
Nippon India Small Cap Fund (G),24-12-2018,39.3637
Nippon India Small Cap Fund (G),26-12-2018,39.27
Nippon India Small Cap Fund (G),27-12-2018,39.3541
Nippon India Small Cap Fund (G),28-12-2018,39.5235
Nippon India Small Cap Fund (G),31-12-2018,39.745
Nippon India Small Cap Fund (G),01-01-2019,39.824
Nippon India Small Cap Fund (G),02-01-2019,39.6228
Nippon India Small Cap Fund (G),03-01-2019,39.4167
Nippon India Small Cap Fund (G),04-01-2019,39.4416
Nippon India Small Cap Fund (G),07-01-2019,39.4265
Nippon India Small Cap Fund (G),08-01-2019,39.4479
Nippon India Small Cap Fund (G),09-01-2019,39.479
Nippon India Small Cap Fund (G),10-01-2019,39.4684
Nippon India Small Cap Fund (G),11-01-2019,39.3563
Nippon India Small Cap Fund (G),14-01-2019,39.2026
Nippon India Small Cap Fund (G),15-01-2019,39.4701
Nippon India Small Cap Fund (G),16-01-2019,39.5299
Nippon India Small Cap Fund (G),17-01-2019,39.4444
Nippon India Small Cap Fund (G),18-01-2019,39.2497
Nippon India Small Cap Fund (G),21-01-2019,39.0788
Nippon India Small Cap Fund (G),22-01-2019,38.8522
Nippon India Small Cap Fund (G),23-01-2019,38.7735
Nippon India Small Cap Fund (G),24-01-2019,38.5156
Nippon India Small Cap Fund (G),25-01-2019,38.0198
Nippon India Small Cap Fund (G),28-01-2019,37.2521
Nippon India Small Cap Fund (G),29-01-2019,37.1605
Nippon India Small Cap Fund (G),30-01-2019,37.4576
Nippon India Small Cap Fund (G),31-01-2019,37.7963
Nippon India Small Cap Fund (G),01-02-2019,37.9346
Nippon India Small Cap Fund (G),04-02-2019,37.5734
Nippon India Small Cap Fund (G),05-02-2019,37.3245
Nippon India Small Cap Fund (G),06-02-2019,37.3624
Nippon India Small Cap Fund (G),07-02-2019,37.74
Nippon India Small Cap Fund (G),08-02-2019,37.3958
Nippon India Small Cap Fund (G),11-02-2019,36.8309
Nippon India Small Cap Fund (G),12-02-2019,36.5088
Nippon India Small Cap Fund (G),13-02-2019,36.2666
Nippon India Small Cap Fund (G),14-02-2019,36.123
Nippon India Small Cap Fund (G),15-02-2019,35.8442
Nippon India Small Cap Fund (G),18-02-2019,35.5721
Nippon India Small Cap Fund (G),19-02-2019,35.664
Nippon India Small Cap Fund (G),20-02-2019,35.9869
Nippon India Small Cap Fund (G),21-02-2019,36.3631
Nippon India Small Cap Fund (G),22-02-2019,36.5739
Nippon India Small Cap Fund (G),25-02-2019,36.8006
Nippon India Small Cap Fund (G),26-02-2019,36.6976
Nippon India Small Cap Fund (G),27-02-2019,36.7448
Nippon India Small Cap Fund (G),28-02-2019,37.0615
Nippon India Small Cap Fund (G),01-03-2019,37.7104
Nippon India Small Cap Fund (G),05-03-2019,38.9794
Nippon India Small Cap Fund (G),06-03-2019,39.2876
Nippon India Small Cap Fund (G),07-03-2019,39.3669
Nippon India Small Cap Fund (G),08-03-2019,39.164
Nippon India Small Cap Fund (G),11-03-2019,39.8443
Nippon India Small Cap Fund (G),12-03-2019,40.3498
Nippon India Small Cap Fund (G),13-03-2019,40.0677
Nippon India Small Cap Fund (G),14-03-2019,39.9944
Nippon India Small Cap Fund (G),15-03-2019,39.9824
Nippon India Small Cap Fund (G),18-03-2019,39.8951
Nippon India Small Cap Fund (G),19-03-2019,40.0231
Nippon India Small Cap Fund (G),20-03-2019,39.8801
Nippon India Small Cap Fund (G),22-03-2019,39.6298
Nippon India Small Cap Fund (G),25-03-2019,39.2398
Nippon India Small Cap Fund (G),26-03-2019,39.504
Nippon India Small Cap Fund (G),27-03-2019,39.824
Nippon India Small Cap Fund (G),28-03-2019,40.1167
Nippon India Small Cap Fund (G),29-03-2019,40.3082
Nippon India Small Cap Fund (G),31-03-2019,40.3048
Nippon India Small Cap Fund (G),01-04-2019,40.6509
Nippon India Small Cap Fund (G),02-04-2019,40.6194
Nippon India Small Cap Fund (G),03-04-2019,40.3084
Nippon India Small Cap Fund (G),04-04-2019,40.2122
Nippon India Small Cap Fund (G),05-04-2019,40.5292
Nippon India Small Cap Fund (G),08-04-2019,40.4517
Nippon India Small Cap Fund (G),09-04-2019,40.3011
Nippon India Small Cap Fund (G),10-04-2019,40.301
Nippon India Small Cap Fund (G),11-04-2019,40.2967
Nippon India Small Cap Fund (G),12-04-2019,40.4693
Nippon India Small Cap Fund (G),15-04-2019,40.5953
Nippon India Small Cap Fund (G),16-04-2019,40.6312
Nippon India Small Cap Fund (G),18-04-2019,40.3337
Nippon India Small Cap Fund (G),22-04-2019,39.9324
Nippon India Small Cap Fund (G),23-04-2019,39.9369
Nippon India Small Cap Fund (G),24-04-2019,40.1287
Nippon India Small Cap Fund (G),25-04-2019,39.9974
